,business_id,name,address,city,state,latitude,longitude,stars,review_count,attributes,categories,hours
8397,2myVMP_l-9f9JIZewm19Cg,Prince Conti Hotel,830 Conti St,Venice Gardens,FL,27.0739,-82.4125,3.5,176,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
8403,6P4siJajSgA5tgXHb5122Q,Monarch Cleaners,5741 Calle Real,Blountstown,FL,30.443,-85.0455,1.0,8,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Local Services, Professional Services, Dry Cleaning & Laundry, Laundry Services","{'Monday': '8:0-18:30', 'Tuesday': '8:0-18:30', 'Wednesday': '8:0-18:30', 'Thursday': '8:0-18:30', 'Friday': '8:0-18:30', 'Saturday': '9:0-15:0'}"
8411,dMhslmjZ0dJov0sMCxf39Q,Anaya's Mexican Restaurant,1285 N State Rd 135,San Antonio Heights,CA,34.1573,-117.6592,3.5,54,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BikeParking': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Restaurants, American (New), Mexican","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
8413,lyYS5AqPN63gG_rNohKqLA,CVS Pharmacy,4748 East Sunrise Dr,Val Verde,CA,34.4504,-118.6717,2.0,16,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'DriveThru': 'True', 'RestaurantsTakeOut': 'False'}","Shopping, Pharmacy, Health & Medical, Drugstores, Food, Convenience Stores","{'Monday': '9:0-21:0', 'Tuesday': '10:0-20:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '10:0-20:0'}"
8416,i5CdJTdTSNUCqtKWzYNRaA,Traveling Tea,2707 Sutton Blvd,Feather Sound,FL,27.9061,-82.6813,4.5,14,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""'no'"", 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False', 'WheelchairAccessible': 'False', 'RestaurantsDelivery': 'True', 'BikeParking': 'False'}","Coffee & Tea, Shopping, Food","{'Monday': '0:0-0:0', 'Wednesday': '16:0-19:0', 'Thursday': '16:0-19:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-16:0'}"
8422,LDepg4jhTLwxY2YN6YGHtw,Illadelph by All in One Smoke Shop,14230 Bustleton Ave,East Richmond Heights,CA,37.945,-122.314,4.5,7,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True', 'BikeParking': 'False', 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True'}","Shopping, Head Shops, Tobacco Shops, Vape Shops","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-21:0'}"
8427,Ig7rcrzWcQ3MEsJZ2wpw9Q,Arizona's Interior Innovations,1781 W Ruthrauff Rd,Zephyrhills North,FL,28.252,-82.1654,3.0,17,"{'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'True'}","Kitchen & Bath, Shopping, Home & Garden, Flooring, Contractors, Home Services, Shades & Blinds, Interior Design, Countertop Installation","{'Monday': '0:0-0:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0', 'Saturday': '10:0-14:0'}"
8429,pt1ELSE7LW1LW47vvBF52A,LaRosa's Flowers,114 E State St,North Fork,CA,37.2306,-119.5199,4.5,7,"{'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True'}","Party Supplies, Shopping, Flowers & Gifts, Florists, Gift Shops, Party & Event Planning, Event Planning & Services, Baby Gear & Furniture","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0', 'Saturday': '8:30-15:0'}"
8434,cVW9b_1bqsvTU1jhGNWUsw,Yoshinoya,552 University Road,Desert View Highlands,CA,34.5903,-118.1535,3.0,9,"{'NoiseLevel': ""u'loud'"", 'RestaurantsTableService': 'False', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'HasTV': 'True', 'OutdoorSeating': 'True', 'DriveThru': 'True'}","Japanese, Restaurants, Asian Fusion, Fast Food","{'Monday': '10:0-16:30', 'Tuesday': '10:0-16:30', 'Wednesday': '10:0-16:30', 'Thursday': '10:0-16:30', 'Friday': '10:0-16:30'}"
8455,f2r0YzFcaFl3jSg4cST68w,Coco Deep Fried Chicken,3350 Parsons Road,Day Valley,CA,37.0255,-121.8559,4.0,56,"{'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTableService': 'False', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'True', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'WiFi': ""'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Food, Chicken Wings, Korean, Restaurants, Chicken Shop","{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '13:0-21:0'}"
8461,AQVLNJfEDlEvdiP0GEfWjA,CVS Pharmacy,500 N Carrollton Ave,Dover,FL,27.9927,-82.2198,4.0,9,"{'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'False', 'DriveThru': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Convenience Stores, Food, Pharmacy, Shopping, Health & Medical, Drugstores","{'Monday': '8:0-22:0', 'Tuesday': '10:0-20:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-23:0', 'Saturday': '8:0-23:0', 'Sunday': '8:0-22:0'}"
8462,gXJRJnVE1nskfEFnNwbCzA,Bilbo's BBQ N Grill,7923 US Hwy 19,Geneva,FL,28.7377,-81.1143,4.0,17,"{'RestaurantsAttire': ""u'casual'"", 'WiFi': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}","Barbeque, Restaurants, American (Traditional)","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}"
8480,c9xh7DfGTom0YSgZiBHPPQ,Heritage Bank of Nevada,2330 S Virginia St,Carmel-by-the-Sea,CA,36.5528,-121.9222,4.0,9,"{'BusinessAcceptsCreditCards': 'False', 'ByAppointmentOnly': 'False'}","Banks & Credit Unions, Financial Services","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-18:0'}"
8485,-fMwcA1pFUUv3RCsehpnwQ,Zoolala,1200 W Washington St,Coronita,CA,33.876,-117.6109,4.5,7,"{'WiFi': ""u'free'""}","Arts & Entertainment, Festivals",{'Thursday': '18:30-22:0'}
8487,ANxblmOTa8-kn-a_xlq84g,Pizzazz Painting,2804 Tarnbrook Dr,Mount Shasta,CA,41.3206,-122.315,5.0,12,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Painters, Home Services, Drywall Installation & Repair, Pressure Washers, Contractors","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
8498,vR1ZFHY1Z0DtkzeHZX0taA,Caruso Ristorante Italiano,124 107th Ave,Hayfork,CA,40.561,-123.1298,4.5,76,"{'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'False', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTableService': 'True', 'DogsAllowed': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'WheelchairAccessible': 'True'}","Restaurants, Sandwiches, Breakfast & Brunch, Italian, Seafood","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}"
8510,6B8ZbdIzTpqSv5GeetClkg,Fitlife Foods - St. Petersburg,3047 4th St N,Vine Hill,CA,38.007,-122.0873,4.0,45,"{'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'True', 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'HappyHour': 'False', 'NoiseLevel': ""u'quiet'"", 'RestaurantsPriceRange2': '2'}","Grocery, Specialty Food, Restaurants, Health Markets, Food","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-20:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-21:0'}"
8517,SMw8Fkpo4CGCTaSE2LfokA,Pizza Hut,4902 W Washington St,Melbourne Beach,FL,28.0668,-80.561,1.5,21,"{'NoiseLevel': ""'very_loud'"", 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'Alcohol': ""'none'"", 'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""'no'"", 'HasTV': 'True', 'RestaurantsPriceRange2': '1'}","Restaurants, Italian, Pizza, Chicken Wings, Fast Food","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}"
8537,bw9vBLjjwyEEuDZ2kMo10Q,E and L Pizza,2810 34th St N,Lake Nacimiento,CA,35.7308,-120.8695,4.0,45,"{'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BYOB': 'False', 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{u'breakfast': None, u'brunch': None, u'lunch': True, u'dinner': None, u'latenight': None, u'dessert': None}"", 'WiFi': ""u'free'"", 'HasTV': 'True', 'Ambience': ""{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': False, u'romantic': None, u'classy': None, u'upscale': False}""}","American (Traditional), Restaurants, Pizza","{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:45', 'Wednesday': '11:0-20:45', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '12:0-21:0'}"
8546,HXI57kf09wKPLlLZVTr-tQ,Alexa Beauty and Barber,"140 W Duval Mine Rd, Ste 150",Buckhorn,CA,38.4548,-120.5323,4.0,12,"{'HairSpecializesIn': ""{'straightperms': True, 'coloring': True, 'extensions': True, 'africanamerican': False, 'curly': True, 'kids': True, 'perms': True, 'asian': False}"", 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True'}","Hair Salons, Beauty & Spas, Barbers","{'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '11:0-19:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0'}"
8552,9BCgibOxLmNDmUu30i0CxQ,Greenix Pest Control,14024 Britton Park Rd,San Castle,FL,26.5652,-80.0611,1.5,10,{'BusinessAcceptsCreditCards': 'True'},"Pest Control, Local Services, Wildlife Control","{'Monday': '6:0-19:0', 'Tuesday': '6:0-19:0', 'Wednesday': '6:0-19:0', 'Thursday': '6:0-19:0', 'Friday': '6:0-19:0', 'Saturday': '6:0-15:0'}"
8558,53Kxu-6c-veXPtMqw1qX1g,Manufacturers Now,"260 Freeport Blvd, Ste 20",Reliez Valley,CA,37.9399,-122.1027,3.5,7,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '3'}","Shopping, Furniture Stores, Home & Garden, Mattresses","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '10:0-20:0'}"
8560,_f654bkrYdNs1wB_fQVS5w,Crocodile Catering,"940 W Valley Rd, Ste 2001",Big Coppitt Key,FL,24.5914,-81.6574,4.5,15,"{'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'None', 'Alcohol': 'None', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'Caters': 'True', 'WiFi': ""'free'"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'None', 'BusinessParking': 'None', 'OutdoorSeating': 'None', 'HasTV': 'None', 'BikeParking': 'None'}","Sandwiches, Cafes, Salad, Restaurants, Event Planning & Services, Caterers","{'Monday': '5:0-16:0', 'Tuesday': '4:45-16:0', 'Wednesday': '5:0-16:0', 'Thursday': '5:0-16:0', 'Friday': '5:0-16:0'}"
8562,mhkPodUyu4xQe5QBXXlYdA,Wawa,451 West Ridge Pk,Burney,CA,40.8846,-121.6691,3.5,5,"{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Automotive, Fast Food, Coffee & Tea, Sandwiches, Convenience Stores, Restaurants, Food, Gas Stations","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
8572,qp7cJWwx5-j45fLGLYsn_Q,Pokeworks,416 11th Ave N,Crest,CA,32.8,-116.8671,4.5,6,"{'BikeParking': 'False', 'HasTV': 'False', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsTableService': 'False', 'Alcohol': ""u'none'"", 'Caters': 'True', 'WiFi': ""u'no'""}","Salad, Sushi Bars, Restaurants, Food, Poke","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-11:15', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
8583,QmXNjAZtJvhnOUTfxqPH1g,Pike Branch Library - IMCPL,6525 Zionsville Rd,Tipton,CA,36.0572,-119.3135,5.0,7,"{'WiFi': ""'free'""}","Public Services & Government, Libraries","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '12:0-17:0'}"
8587,kPdR5SUhHzH6U-WQohnM4Q,Rolling Asian Delight,1025 W Main St,Kelly Ridge,CA,39.5289,-121.4662,2.5,8,"{'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'RestaurantsPriceRange2': '1'}","Street Vendors, Food Trucks, Food","{'Tuesday': '9:0-18:30', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-18:30', 'Friday': '9:0-17:0'}"
8590,ioXRE9fGEExhgsZG9m6T-A,Co Capelli Salon & Spa,"3441 Lebanon Rd, Ste 114",Moss Beach,CA,37.5184,-122.5036,4.5,56,"{'ByAppointmentOnly': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'BusinessAcceptsBitcoin': 'False'}","Waxing, Nail Salons, Tanning, Spray Tanning, Hair Removal, Beauty & Spas, Laser Hair Removal, Hair Salons","{'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-16:0'}"
8591,ptLgCNXy4fHmp717IyEnBQ,Hello Beautiful Colour Salon & Spa,4532-34 S Dale Mabry Hwy,Williston Highlands,FL,29.3336,-82.5357,3.0,9,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True', 'GoodForKids': 'True'}","Day Spas, Beauty & Spas, Makeup Artists, Hair Salons","{'Monday': '12:0-19:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-17:0', 'Sunday': '12:0-17:0'}"
8594,-uq7NWYxWNG6Pemh1Y7O4Q,The Joint Chiropractic,5741 Calle Real,Agua Dulce,CA,34.5044,-118.316,4.0,60,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'False', 'WheelchairAccessible': 'True'}","Beauty & Spas, Sports Medicine, Doctors, Chiropractors, Hair Salons, Naturopathic/Holistic, Health & Medical","{'Monday': '0:0-0:0', 'Tuesday': '15:0-19:0', 'Wednesday': '15:0-19:0', 'Thursday': '15:0-19:0', 'Friday': '15:0-19:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}"
8610,radib3GHt_Up9-zhUjM1ew,Red Robin Gourmet Burgers and Brews,"27001 US Hwy 19 N, Ste 1130",Carrabelle,FL,29.8555,-84.6685,3.5,175,"{'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'True', 'DriveThru': 'False', 'Caters': 'False', 'GoodForKids': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""u'no'"", 'DogsAllowed': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'HappyHour': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'RestaurantsTableService': 'True'}","Fast Food, American (Traditional), Burgers, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
8623,mekeg9tvIEbJEVTLOXxkhA,Publix,5295 34th St S,Nevada City,CA,39.2607,-121.0231,3.0,23,"{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True'}","Shopping, Drugstores, Grocery, Food","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}"
8627,UM6XgOtTX4DWWcGDTWtjEg,HandleBar,4127 Manchester Ave,Minden,NV,38.9632,-119.7683,4.0,153,"{'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'True', 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Corkage': 'True', 'BYOB': 'False', 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': None, 'video': False, 'karaoke': False}"", 'Smoking': ""u'outdoor'"", 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': None}"", 'RestaurantsTableService': 'True', 'CoatCheck': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}""}","Dance Clubs, Beer Bar, Nightlife, Gastropubs, Cocktail Bars, Pubs, Pizza, Russian, Bars, Restaurants","{'Monday': '16:0-2:0', 'Wednesday': '16:0-2:0', 'Thursday': '16:0-2:0', 'Friday': '16:0-2:0', 'Saturday': '16:0-2:0', 'Sunday': '16:0-2:0'}"
